permitnum,permitclass,permitclassmapped,permittypemapped,permittypedesc,description,housingunits,statuscurrent,relatedmup,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1,daysoutcorrections,numberreviewcycles,dependentbuilding,housingcategory,contractorcompanyname,estprojectcost,applieddate,housingunitsremoved,housingunitsadded,issueddate,expiresdate,completeddate,zoning,dwellingunittype,standardplan,parentpermitnum
3001776-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a 3-story building containing 6 220 sq. ft. of retail at ground level and 45 895 sq. ft.  of office space above.  Parking for 83 vehicles to be provided below grade. Project includes 12 050 cu. yds. of grading. Existing structure to be removed.,0.0,Completed,3001776-LU,2701 EASTLAKE AVE E,SEATTLE,WA,98102,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001776-EX'},47.64464664,-122.32610372,"{'latitude': '47.64464664', 'longitude': '-122.32610372'}",0,0,0,N/A,,,,,,,,,,,,
3002256-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: CANCELLED 3/8/11 -- Land use application to subdivide one parcel into two parcels of land. Proposed parcel sizes are:Existing structures to remain.  ECA Exemption Request.,0.0,Canceled,3002256-LU,7203 35TH AVE S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002256-EX'},47.53767999,-122.28885999,"{'latitude': '47.53767999', 'longitude': '-122.28885999'}",,,0,N/A,,,,,,,,,,,,
3002287-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow construction of a three-story  3 029 sq. ft. single family residence in an Environmentally Critical Area.  Note: The shoreline conditional use noticed with this application has been withdrawn based on revised plans.,0.0,Completed,3002287-LU,9714 RAINIER AVE S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002287-EX'},47.51650929,-122.25395965,"{'latitude': '47.51650929', 'longitude': '-122.25395965'}",0,0,0,N/A,,,,,,,,,,,,
3003446-EX,Industrial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: CANCELLED 3/21/2012 Land use approval for 600 cu.yards. of maintenance dredging for Ash Grove Cement Company.,0.0,Canceled,3003446-LU,3801 EAST MARGINAL WAY S,SEATTLE,WA,98134,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003446-EX'},47.56852863,-122.34046304,"{'latitude': '47.56852863', 'longitude': '-122.34046304'}",,,0,N/A,,,,,,,,,,,,
3003449-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: CANCELED PER NO RESPONSE TO ECON LETTER JH 3/9/2010.Land use permit to subdivide one parcel into six parcels of land in an environmentally critical area. Proposed parcel sizes are: A)7 202.02 sq.ft.; B)7204.2 sq.ft.; C)7200.5 sq.ft.; D)7200.5 sq.ft.; E)7200.1. sq.ft. F)55 090.6 sq.ft.  Existing structures to remain on proposed Parcel F.,0.0,Canceled,3003449-LU,2115 NE 130TH ST,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003449-EX'},47.72169120,-122.30559245,"{'latitude': '47.7216912', 'longitude': '-122.30559245'}",,,0,N/A,,,,,,,,,,,,
3003791-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: shoreline exemption,0.0,Canceled,3003791-LU,3314 NE 123RD ST,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003791-EX'},47.71753190,-122.29207890,"{'latitude': '47.7175319', 'longitude': '-122.2920789'}",,,0,N/A,,,,,,,,,,,,
3001095-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Street Improvement Exception,Exception/Exemption Request for: Land Use Application to subdivide one parcel into four parcels of land. Proposed parcel sizes are: A) 5 028 sq. ft.  B) 5 028 sq. ft.  C) 5 775 sq. ft. and D) 5 661 sq. ft. Existing structures to be demolished.,0.0,Completed,3001095-LU,5414 21ST AVE SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001095-EX'},47.55326217,-122.35930088,"{'latitude': '47.55326217', 'longitude': '-122.35930088'}",0,0,0,N/A,,,,,,,,,,,,
3001906-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into five parcels of land. Proposed parcel sizes are: A) 7 603.6 sq. ft.; B) 7 603.6 sq. ft.; C) 7 603.6 sq. ft.; D) 7 603.6 sq. ft. and E) 7 603.6 sq. ft. Existing structure on proposed parcels to remain.,0.0,Completed,3001906-LU,12583 17TH AVE NE,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001906-EX'},47.72168422,-122.31123481,"{'latitude': '47.72168422', 'longitude': '-122.31123481'}",0,0,0,N/A,,,,,,,,,,,,
3002070-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use permit to subdivide one parcel into four parcels of land.  Existing structures to be removed.,0.0,Completed,3002070-LU,6519 S BANGOR ST,SEATTLE,WA,98178,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002070-EX'},47.50588981,-122.25172068,"{'latitude': '47.50588981', 'longitude': '-122.25172068'}",0,0,0,N/A,,,,,,,,,,,,
3002774-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: CANACELED  8-5-2014  Short Plat  (in NC3 Zone) [Imported from Master Tracker],0.0,Canceled,3002774-LU,320 NE 97TH ST,SEATTLE,WA,98115,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002774-EX'},47.69943793,-122.32468755,"{'latitude': '47.69943793', 'longitude': '-122.32468755'}",,,0,N/A,,,,,,,,,,,,
